,Name of City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,75,AR,1570039875,70,-54.81,-68.31,50.0,31.09
1,Coihaique,40,CL,1570039876,43,-45.58,-72.07,50.0,5.82
2,Cape Town,100,ZA,1570039877,81,-33.93,18.42,64.99,1.01
3,Puerto Ayora,75,EC,1570039878,64,-0.74,-90.35,75.2,17.22
4,Castro,40,CL,1570039879,61,-42.48,-73.76,48.2,6.93
5,Ancud,40,CL,1570039881,61,-41.87,-73.83,48.2,6.93
6,Hermanus,100,ZA,1570039882,90,-34.42,19.24,62.01,1.99
7,Mount Isa,0,AU,1570039883,14,-20.73,139.49,71.6,4.7
8,Gat,40,SN,1570039884,74,14.69,-16.54,98.6,11.41
9,Kapaa,75,US,1570039886,78,22.08,-159.32,80.6,20.8
10,Busselton,100,AU,1570039771,67,-33.64,115.35,55.99,5.99
11,Carnarvon,45,ZA,1570039890,12,-30.97,22.13,64.78,9.26
12,Rikitea,100,PF,1570039766,81,-23.12,-134.97,62.8,11.56
13,Tuktoyaktuk,90,CA,1570039892,93,69.44,-133.03,37.4,3.36
14,Muros,20,ES,1570039893,82,42.77,-9.06,66.0,5.82
15,Punta Arenas,75,CL,1570039894,53,-53.16,-70.91,50.0,33.33
16,Sitka,100,US,1570039896,61,37.17,-99.65,79.9,12.68
17,Albany,90,US,1570039741,87,42.65,-73.75,73.0,13.87
18,Saint-Philippe,90,CA,1570039898,76,45.36,-73.48,55.99,10.29
19,Kahului,20,US,1570039899,83,20.89,-156.47,79.0,10.29
20,Namatanai,89,PG,1570039900,81,-3.66,152.44,78.46,6.69
21,Port Blair,62,IN,1570039902,71,11.67,92.75,82.06,2.51
22,Arraial do Cabo,0,BR,1570039903,61,-22.97,-42.02,80.6,23.04
23,Nicolas Bravo,40,MX,1570039904,49,24.39,-104.74,72.0,4.7
24,Mar del Plata,16,AR,1570039819,22,-46.43,-67.52,52.9,11.56
25,Khandyga,37,RU,1570039907,75,62.65,135.58,23.38,3.58
26,Chuy,100,UY,1570039709,92,-33.69,-53.46,56.14,19.62
27,Rovaniemi,0,FI,1570039831,69,66.5,25.72,33.8,10.29
28,Butaritari,87,KI,1570039910,63,3.07,172.79,84.94,5.12
29,Isangel,100,VU,1570039912,75,-19.55,169.27,71.44,21.21
30,Viedma,0,AR,1570039913,21,-40.81,-62.99,57.22,9.6
31,Chernyshevskiy,97,RU,1570039914,83,63.01,112.47,27.88,5.93
32,Leh,0,IN,1570039915,32,34.16,77.58,34.18,1.92
33,Tasiilaq,90,GL,1570039917,69,65.61,-37.64,39.2,33.33
34,Ponta do Sol,9,BR,1570039844,28,-20.63,-46.0,87.82,5.46
35,Mataura,100,NZ,1570039775,89,-46.19,168.86,42.01,5.01
36,Kavaratti,56,IN,1570039921,75,10.57,72.64,82.42,8.19
37,Hede,100,SE,1570039924,80,60.45,15.49,42.01,11.41
38,Buenos Aires,75,AR,1570039721,59,-34.61,-58.44,64.99,11.41
39,Mahebourg,75,MU,1570039780,83,-20.41,57.7,75.2,11.41
40,Cairns,75,AU,1570039929,83,-16.92,145.77,71.6,9.17
41,Gboko,98,NG,1570039930,89,7.32,9.0,74.68,0.63
42,Vostok,0,RU,1570039931,95,46.45,135.83,55.96,3.85
43,Cabo San Lucas,20,MX,1570039922,61,22.89,-109.91,87.01,11.41
44,Chokurdakh,99,RU,1570039934,93,70.62,147.9,25.9,15.32
45,Jalu,0,LY,1570039936,26,29.03,21.55,81.16,9.82
46,Vaini,80,IN,1570039937,91,15.34,74.49,76.3,0.78
47,Guymon,90,US,1570039938,82,36.68,-101.48,73.4,9.17
48,Georgetown,40,GY,1570039940,74,6.8,-58.16,89.6,6.93
49,Vangaindrano,61,MG,1570039941,94,-23.35,47.6,70.54,2.19
50,Hualmay,60,PE,1570039843,89,-11.1,-77.61,61.72,14.74
51,Port Alfred,91,ZA,1570039945,91,-33.59,26.89,62.01,7.43
52,Port Augusta,40,AU,1570039946,100,-32.49,137.76,55.4,12.75
53,Paamiut,100,GL,1570039947,61,61.99,-49.67,45.88,7.61
54,Saint George,20,GR,1570039948,77,39.45,22.34,69.8,1.99
55,Bagontapay,100,PH,1570039950,92,6.88,124.9,73.42,1.36
56,Vila Franca do Campo,40,PT,1570039951,88,37.72,-25.43,75.0,20.8
57,Victoria,75,BN,1570039829,94,5.28,115.24,77.0,1.12
58,Bud,75,NO,1570039926,81,62.91,6.91,50.0,1.12
59,Qaanaaq,87,GL,1570039954,82,77.48,-69.36,26.8,2.57
60,Duku,55,ID,1570039956,84,-1.19,100.47,78.1,14.63
61,Jamestown,8,AU,1570039798,86,-33.21,138.6,48.4,1.34
62,Puerto Narino,40,CO,1570039958,70,-3.77,-70.38,89.6,4.7
63,Hobart,90,AU,1570039705,76,-42.88,147.33,52.0,4.7
64,San Patricio,100,PY,1570039961,94,-26.98,-56.83,69.46,6.89
65,Norman Wells,90,CA,1570039962,100,65.28,-126.83,42.8,2.53
66,Cockburn Town,40,TC,1570039963,70,21.46,-71.14,84.2,5.82
67,Canutama,89,BR,1570039965,34,-6.53,-64.38,98.8,4.47
68,Ilulissat,75,GL,1570039779,31,69.22,-51.1,50.0,17.22
69,Faya,0,SA,1570039967,82,18.39,42.45,68.0,4.16
70,Atuona,18,PF,1570039877,74,-9.8,-139.03,79.36,12.48
71,Avarua,45,CK,1570039771,73,-21.21,-159.78,71.6,3.36
72,Barrow,31,AR,1570039971,40,-38.31,-60.23,56.86,11.65
73,Lebu,75,ET,1570039972,77,8.96,38.73,60.8,6.93
74,Inhambane,20,MZ,1570039973,72,-23.87,35.38,68.0,3.36
75,Bluff,5,AU,1570039974,90,-23.58,149.07,59.02,12.8
76,Yellowknife,75,CA,1570039769,70,62.45,-114.38,44.6,10.29
77,Lakes Entrance,0,AU,1570039977,63,-37.88,147.99,53.8,6.02
78,Thompson,5,CA,1570039978,45,55.74,-97.86,44.6,11.41
79,Ojinaga,40,US,1570039979,51,29.56,-104.41,84.2,6.93
80,Puerto Leguizamo,52,CO,1570039980,45,-0.19,-74.78,92.5,4.83
81,Ulundi,65,ZA,1570039982,78,-28.29,31.43,53.26,7.54
82,Dikson,29,RU,1570039983,78,73.51,80.55,26.8,19.57
83,Tautira,40,PF,1570039897,65,-17.73,-149.15,78.8,2.24
84,Ouesso,34,CG,1570039986,85,1.61,16.05,74.32,3.0
85,Siemiatycze,100,PL,1570039987,79,52.43,22.86,57.99,1.01
86,Varberg,90,SE,1570039988,81,57.11,12.25,48.2,3.36
87,Kargopol,18,RU,1570039989,94,61.51,38.95,40.3,6.08
88,Iqaluit,75,CA,1570039991,65,63.75,-68.52,41.0,13.87
89,Tuatapere,100,NZ,1570039992,89,-46.13,167.69,42.01,5.99
90,Bambous Virieux,40,MU,1570039993,88,-20.34,57.76,75.2,12.75
91,Adrar,0,DZ,1570039995,9,27.87,-0.29,105.8,18.34
92,Deer Lake,90,CA,1570039996,65,49.18,-57.43,48.0,10.29
93,Hithadhoo,15,MV,1570039767,79,-0.6,73.08,82.78,17.98
94,Torbay,90,CA,1570039998,86,47.66,-52.73,43.0,5.82
95,Naranjal,75,PY,1570039999,32,-25.97,-55.19,96.8,18.34
96,Touros,40,BR,1570040001,48,-5.2,-35.46,84.2,19.46
97,Nuuk,75,GL,1570040002,32,64.17,-51.74,53.6,12.75
98,Tres Arroyos,31,AR,1570040003,40,-38.38,-60.28,56.86,11.65
99,San Cristobal,85,HN,1570040005,51,14.68,-86.92,81.34,5.53
100,Dashitou,36,CN,1570040006,82,43.3,128.5,52.18,1.61
101,Gravdal,0,NO,1570040007,76,59.79,5.78,53.6,8.05
102,Sorland,75,NO,1570040008,65,67.67,12.69,44.6,18.34
103,Ayan,0,IR,1570040009,37,38.23,44.7,50.56,2.37
104,Limon,6,US,1570040011,76,39.26,-103.69,57.0,0.94
105,Bethel,90,US,1570040012,100,60.79,-161.76,46.4,8.05
106,Belaya Gora,100,RU,1570040013,78,68.54,146.19,27.52,24.83
107,Nanortalik,64,GL,1570040014,62,60.14,-45.24,45.88,1.57
108,Severo-Kurilsk,84,RU,1570040015,89,50.68,156.12,48.94,13.71
109,Saskylakh,55,RU,1570040017,88,71.97,114.09,16.0,3.85
110,Devils Lake,90,US,1570040018,86,48.11,-98.87,39.2,8.05
111,Rincon,75,PA,1570040019,78,8.46,-82.28,82.4,10.29
112,Ribeira Grande,40,PT,1570040020,68,38.52,-28.7,71.6,28.86
113,Airai,63,TL,1570040021,71,-8.93,125.41,68.56,4.41
114,Soe,100,EE,1570040023,87,57.91,26.05,48.0,2.24
115,Hilo,75,US,1570040024,78,19.71,-155.08,78.8,3.36
116,Baykit,100,RU,1570040025,98,61.68,96.39,32.56,7.23
117,New Norfolk,90,AU,1570040026,76,-42.78,147.06,52.0,4.7
118,Khatanga,0,RU,1570040027,82,71.98,102.47,21.22,8.32
