,Name of City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Chalchihuites,2,MX,1570037924,50,23.48,-103.88,70.72,4.07
1,Santa Cruz,1,BR,1570037926,39,-6.22,-36.02,87.64,14.41
2,Brus Laguna,46,HN,1570037927,79,15.75,-84.48,82.96,14.12
3,Pevek,100,RU,1570037859,74,69.7,170.27,30.4,12.3
4,Ewa Beach,40,US,1570037929,74,21.32,-158.01,80.6,11.41
5,Perth,0,AU,1570037366,100,-31.95,115.86,57.0,1.12
6,Ajdabiya,0,LY,1570037931,59,30.75,20.22,79.36,14.25
7,Oriximina,58,BR,1570037933,37,-1.77,-55.87,96.64,6.91
8,Keti Bandar,64,PK,1570037934,81,24.14,67.45,82.24,14.54
9,Rio Grande,75,BR,1570037651,88,-32.03,-52.1,69.8,8.05
10,Ushuaia,75,AR,1570037655,70,-54.81,-68.31,50.0,31.09
11,Komsomolskiy,100,RU,1570037937,79,67.55,63.78,41.38,22.06
12,Nome,90,US,1570037938,66,30.04,-94.42,89.6,8.05
13,Chuy,100,UY,1570037875,92,-33.69,-53.46,56.14,19.62
14,Mahebourg,75,MU,1570037606,83,-20.41,57.7,75.2,11.41
15,Yellowknife,75,CA,1570037607,70,62.45,-114.38,44.6,10.29
16,Mataura,100,NZ,1570037664,89,-46.19,168.86,42.01,1.99
17,Hirara,0,JP,1570037653,84,24.8,125.28,80.26,6.29
18,Verkhnevilyuysk,81,RU,1570037945,86,63.45,120.31,23.56,4.36
19,Makueni,23,KE,1570037946,68,-1.8,37.62,70.9,8.12
20,Kapaa,75,US,1570037627,78,22.08,-159.32,80.6,20.8
21,Nalut,26,LY,1570037948,14,31.86,10.98,84.94,7.61
22,Camocim,75,BR,1570037949,43,-2.9,-40.84,91.4,19.46
23,Neka,0,IR,1570037951,94,36.65,53.3,71.6,2.24
24,Rikitea,100,PF,1570037643,81,-23.12,-134.97,62.8,11.56
25,Puerto Madryn,4,AR,1570037687,18,-42.77,-65.04,57.76,11.12
26,Puerto Ayacucho,40,CO,1570037954,52,5.66,-67.63,93.2,5.37
27,Gari,100,RU,1570037955,81,59.43,62.35,51.28,11.77
28,Nivala,92,FI,1570037956,75,63.93,24.96,37.99,3.0
29,Thompson,5,CA,1570037795,45,55.74,-97.86,44.6,11.41
30,Waddan,0,LY,1570037959,13,29.16,16.14,86.38,9.51
31,Bredasdorp,100,ZA,1570037813,72,-34.53,20.04,63.0,11.41
32,Provideniya,89,RU,1570037658,86,64.42,-173.23,36.88,13.18
33,Te Anau,100,NZ,1570037563,80,-45.41,167.72,35.98,1.25
34,Port Hardy,90,CA,1570037963,87,50.7,-127.42,51.8,13.87
35,Sao Joao da Barra,0,BR,1570037462,45,-21.64,-41.05,82.4,16.11
36,Setermoen,75,NO,1570037965,80,68.86,18.35,30.99,10.29
37,Busselton,100,AU,1570037635,64,-33.64,115.35,55.99,5.99
38,Naron,20,ES,1570037968,72,43.52,-8.15,64.99,3.36
39,Minchinabad,58,PK,1570037969,44,30.16,73.57,83.32,5.95
40,Airai,63,TL,1570037713,71,-8.93,125.41,68.56,4.41
41,Port Alfred,91,ZA,1570037596,90,-33.59,26.89,63.0,7.43
42,Brae,75,GB,1570037665,93,60.4,-1.35,50.0,14.99
43,Mansa,20,IN,1570037973,83,23.43,72.66,82.4,7.9
44,Nichinan,65,JP,1570037975,97,31.65,131.31,72.7,2.24
45,Kodiak,90,US,1570037855,88,39.95,-94.76,71.6,4.7
46,Georgetown,40,GY,1570037649,74,6.8,-58.16,89.6,6.93
47,Tura,100,RU,1570037978,95,64.27,100.22,30.76,6.98
48,Bluff,5,AU,1570037646,90,-23.58,149.07,59.02,12.8
49,Uruzgan,0,AF,1570037980,39,32.93,66.63,44.98,2.53
